id,title,grade,confidence,reason,repo,domain,proven_mentions,refuted_mentions,n6_constants,n6_keywords,min_error_pct,max_z,coincidence,file_lines
TECS-L:002,Universality of the Golden Zone — Is 1/e a Natural Constant?,⚪,0.55,inconclusive in title,TECS-L,,0,0,1,0,,,0,117
TECS-L:003,Mathematical Equivalence of Cusp Catastrophe and Our Model,🟧,0.4,significance claimed + verification,TECS-L,,0,0,0,0,,,0,106
TECS-L:004,Inhibition = Inverse Temperature (1/kT) Equivalence,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,117
TECS-L:005,The 1/3 Law — Structural Constant of Parameter Space,🟧,0.55,Z=2sigma (marginal),TECS-L,,0,0,1,0,,2.0,0,81
TECS-L:008,Golden MoE Architecture Design (v2 — Revised from 019),⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,3,0,,,0,118
TECS-L:010,The 1/3 Law is Not Exactly 1/3 ❌,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,2.0,0,91
TECS-L:011,Z_max Convergence Value = 86σ,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,79.0,0,117
TECS-L:015,Convergence Speed Diffusion Law τ∝ΔI² — Inconclusive ?,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,142
TECS-L:019-golden-moe-performance,Golden MoE — Golden Zone-Based Mixture-of-Experts,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,7,5,5.0,,0,418
TECS-L:052,BSD Rational Structure -- Not Found ❌,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,7,,5.0,0,124
TECS-L:064,Gödel Incompleteness — Cause of Compass Upper Bound? ⚠️,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,162
TECS-L:065,Mandelbrot Correspondence — Structural Failure ❌,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,312
TECS-L:074,Optimal θ ≠ π/3 ❌,⬛,0.85,refuted (3 mentions),TECS-L,,0,0,1,0,,,0,90
TECS-L:082,Golden MoE Prototype Specification 🔧,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,5,1,,,0,202
TECS-L:083,Jamba Indirect Comparison ⚠️,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,128
TECS-L:085,π/N Unification ❌,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,4,1.0,,1,115
